"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2021","82,900","83,300","83,300","82,500","3.86K","-0.72%"
"04/26/2021","83,500","82,900","83,500","82,600","3.37K","0.85%"
"04/25/2021","82,800","82,800","82,800","82,800","","0.00%"
"04/23/2021","82,800","81,900","82,900","81,600","17.74M","0.49%"
"04/22/2021","82,400","82,800","83,000","82,400","8.15K","-0.24%"
"04/21/2021","82,600","83,400","83,500","82,500","0.44K","-1.55%"
"04/20/2021","83,900","83,300","84,000","83,200","4.40K","0.72%"
"04/19/2021","83,300","83,900","84,000","83,300","11.08K","-0.72%"
"04/18/2021","83,900","83,900","83,900","83,900","","0.00%"
"04/16/2021","83,900","84,700","84,700","83,600","15.34M","-0.24%"
"04/15/2021","84,100","83,700","84,500","83,400","1.01K","0.12%"
"04/14/2021","84,000","84,100","84,300","83,400","4.37K","0.00%"
"04/13/2021","84,000","83,000","84,500","82,900","1.05K","0.96%"
"04/12/2021","83,200","84,000","84,100","83,100","16.47K","-0.48%"
"04/11/2021","83,600","83,600","83,600","83,600","","0.00%"
"04/09/2021","83,600","84,700","84,900","83,400","17.79M","-1.30%"
"04/08/2021","84,700","85,700","85,700","84,100","19.17M","-1.05%"
"04/07/2021","85,600","86,100","86,200","85,400","5.60K","-0.47%"
"04/06/2021","86,000","86,100","86,200","85,100","10.26K","0.70%"
"04/05/2021","85,400","85,800","86,000","84,800","0.84K","0.71%"
"04/04/2021","84,800","84,800","84,800","84,800","","0.00%"
"04/02/2021","84,800","84,000","85,200","83,900","22.89M","2.29%"
"04/01/2021","82,900","82,400","83,000","82,000","0.93K","1.84%"
"03/31/2021","81,400","82,100","82,100","81,400","0.54K","-0.97%"
"03/30/2021","82,200","81,600","82,300","81,300","13.05M","0.74%"
"03/29/2021","81,600","81,700","81,700","81,000","9.87K","0.12%"
"03/28/2021","81,500","81,500","81,500","81,500","","0.00%"
"03/26/2021","81,500","81,400","81,600","81,000","12.73M","0.37%"
"03/25/2021","81,200","80,900","82,100","80,800","0.45K","0.25%"
"03/24/2021","81,000","81,100","81,600","80,700","14.93K","-0.98%"
"03/23/2021","81,800","82,500","82,800","81,800","5.98K","-0.24%"
"03/22/2021","82,000","82,000","82,300","81,700","12.55M","0.12%"
"03/21/2021","81,900","81,900","81,900","81,900","","0.00%"
"03/19/2021","81,900","82,100","82,500","81,800","15.69M","-1.21%"
"03/18/2021","82,900","82,800","83,800","82,600","2.15K","0.73%"
"03/17/2021","82,300","82,800","82,800","82,100","32.00K","-0.60%"
"03/16/2021","82,800","82,300","83,000","82,100","3.55K","1.22%"
"03/15/2021","81,800","82,800","82,900","81,800","0.40K","-1.21%"
"03/14/2021","82,800","82,800","82,800","82,800","","0.00%"
"03/12/2021","82,800","83,100","83,500","82,400","13.41M","0.98%"
"03/11/2021","82,000","81,000","82,500","81,000","0.96K","1.36%"
"03/10/2021","80,900","82,400","82,500","80,700","8.86K","-0.61%"
"03/09/2021","81,400","81,500","81,900","80,600","1.24K","-0.73%"
"03/08/2021","82,000","83,000","83,000","81,600","6.72K","-0.12%"
"03/07/2021","82,100","82,100","82,100","82,100","","0.00%"
"03/05/2021","82,100","81,100","82,600","81,100","20.35M","-0.36%"
"03/04/2021","82,400","82,700","83,100","82,200","8.75K","-1.90%"
"03/03/2021","84,000","83,400","84,000","82,800","3.80K","0.48%"
"03/02/2021","83,600","85,000","85,300","83,000","7.76K","1.33%"
"03/01/2021","82,500","82,500","82,500","82,500","","0.00%"
"02/26/2021","82,500","82,800","83,400","82,000","36.72M","-3.28%"
"02/25/2021","85,300","84,000","85,400","83,000","6.35K","4.02%"
"02/24/2021","82,000","81,900","83,600","81,400","0.98K","0.00%"
"02/23/2021","82,000","81,300","82,900","81,100","7.03K","-0.24%"
"02/22/2021","82,200","83,800","84,200","82,200","17.48K","-0.48%"
"02/21/2021","82,600","82,600","82,600","82,600","","0.00%"
"02/19/2021","82,600","82,300","82,800","81,000","25.47M","0.61%"
"02/18/2021","82,100","83,200","83,600","82,100","24.28K","-1.32%"
"02/17/2021","83,200","83,900","84,200","83,000","16.79K","-2.00%"
"02/16/2021","84,900","84,500","86,000","84,200","24.26K","0.83%"
"02/15/2021","84,200","83,700","84,500","83,400","0.80K","3.19%"
"02/14/2021","81,600","81,600","81,600","81,600","","0.00%"
"02/10/2021","81,600","82,600","82,600","81,600","22.58M","-1.33%"
"02/09/2021","82,700","84,000","84,800","82,700","5.17K","-0.36%"
"02/08/2021","83,000","83,800","84,200","83,000","2.14K","-0.60%"
"02/07/2021","83,500","83,500","83,500","83,500","","0.00%"
"02/05/2021","83,500","83,100","84,000","82,500","17.14M","1.21%"
"02/04/2021","82,500","83,500","83,800","82,100","2.51K","-2.48%"
"02/03/2021","84,600","84,800","85,400","83,400","8.89K","0.24%"
"02/02/2021","84,400","84,100","86,300","83,700","0.51K","1.69%"
"02/01/2021","83,000","81,800","83,400","81,000","1.45K","1.22%"
"01/31/2021","82,000","82,000","82,000","82,000","","0.00%"
"01/29/2021","82,000","84,500","85,000","82,000","36.70M","-2.03%"
"01/28/2021","83,700","83,400","85,600","83,300","2.27K","-2.22%"
"01/27/2021","85,600","86,700","87,700","85,600","25.96K","-1.27%"
"01/26/2021","86,700","88,800","89,200","86,500","6.49K","-3.02%"
"01/25/2021","89,400","87,100","89,900","86,400","25.11K","3.00%"
"01/24/2021","86,800","86,800","86,800","86,800","","0.00%"
"01/22/2021","86,800","89,000","89,700","86,800","30.43M","-1.48%"
"01/21/2021","88,100","87,500","88,600","86,500","5.95K","1.03%"
"01/20/2021","87,200","88,900","88,900","86,500","3.38K","0.23%"
"01/19/2021","87,000","84,600","88,000","83,600","7.56K","2.35%"
"01/18/2021","85,000","86,700","87,300","84,200","19.68K","-3.41%"
"01/17/2021","88,000","88,000","88,000","88,000","","0.00%"
"01/15/2021","88,000","89,800","91,800","88,000","33.12M","-1.90%"
"01/14/2021","89,700","88,800","90,000","88,700","8.26K","0.00%"
"01/13/2021","89,700","89,900","91,100","89,200","35.22K","-0.99%"
"01/12/2021","90,600","90,500","91,300","87,900","29.49K","-0.44%"
"01/11/2021","91,000","90,100","96,700","90,000","41.26K","2.48%"
"01/10/2021","88,800","88,800","88,800","88,800","","0.00%"
"01/08/2021","88,800","83,300","90,000","83,000","57.52M","7.12%"
"01/07/2021","82,900","82,800","84,200","82,700","32.47M","0.85%"
"01/06/2021","82,200","83,400","84,400","82,100","13.53K","-2.03%"
"01/05/2021","83,900","81,700","83,900","81,700","8.14K","1.08%"
"01/04/2021","83,000","81,000","84,300","80,300","24.25K","2.47%"
"12/30/2020","81,000","77,400","81,300","77,300","29.12M","3.45%"
"12/29/2020","78,300","78,800","78,900","77,300","12.86K","-0.51%"
"12/28/2020","78,700","79,000","80,100","78,300","31.84K","1.16%"
"12/27/2020","77,800","77,800","77,800","77,800","","0.00%"
"12/24/2020","77,800","74,100","78,800","74,000","32.32M","5.28%"
"12/23/2020","73,900","72,300","74,000","72,300","6.05K","2.21%"
"12/22/2020","72,300","72,500","73,200","72,200","0.89K","-0.96%"
"12/21/2020","73,000","73,100","73,400","72,000","1.65K","0.00%"
"12/20/2020","73,000","73,000","73,000","73,000","","0.00%"
"12/18/2020","73,000","73,300","73,700","73,000","17.38M","-0.41%"
"12/17/2020","73,300","73,500","73,700","72,600","1.69K","-0.68%"
"12/16/2020","73,800","74,200","74,500","73,400","0.66K","0.00%"
"12/15/2020","73,800","73,800","74,100","73,300","20.48M","0.00%"
"12/14/2020","73,800","73,600","74,500","73,200","6.44K","0.54%"
"12/13/2020","73,400","73,400","73,400","73,400","","0.00%"
"12/11/2020","73,400","73,500","73,800","73,100","18.42M","0.69%"
"12/10/2020","72,900","72,800","73,800","72,500","0.99K","-1.35%"
"12/09/2020","73,900","72,100","73,900","72,100","5.79K","3.07%"
"12/08/2020","71,700","72,300","72,900","71,600","4.53K","-1.65%"
"12/07/2020","72,900","72,400","73,500","72,000","6.47K","1.96%"
"12/06/2020","71,500","71,500","71,500","71,500","","0.00%"
"12/04/2020","71,500","70,400","72,100","70,100","27.84M","2.58%"
"12/03/2020","69,700","69,500","70,500","69,300","0.22K","0.29%"
"12/02/2020","69,500","68,400","69,900","68,300","27.83M","2.51%"
"12/01/2020","67,800","67,200","68,300","67,100","0.26K","1.65%"
"11/30/2020","66,700","68,400","68,600","66,700","39.86M","-2.20%"
"11/29/2020","68,200","68,200","68,200","68,200","","0.00%"
"11/27/2020","68,200","68,000","68,400","67,600","13.93M","0.29%"
"11/26/2020","68,000","66,300","68,000","66,100","2.15K","2.10%"
"11/25/2020","66,600","67,800","68,300","66,500","6.03K","-1.62%"
"11/24/2020","67,700","67,800","69,400","67,000","2.23K","0.30%"
"11/23/2020","67,500","64,800","67,800","64,800","1.02K","4.33%"
"11/22/2020","64,700","64,700","64,700","64,700","","0.00%"
"11/20/2020","64,700","63,900","65,200","63,900","14.84M","0.15%"
"11/19/2020","64,600","64,200","64,800","63,900","2.15K","-0.31%"
"11/18/2020","64,800","65,700","66,100","64,700","3.61K","-1.37%"
"11/17/2020","65,700","66,900","66,900","65,700","18.63K","-0.90%"
"11/16/2020","66,300","63,900","66,600","63,900","8.20K","4.91%"
"11/15/2020","63,200","63,200","63,200","63,200","","0.00%"
"11/13/2020","63,200","61,300","63,200","61,000","31.31M","3.61%"
"11/12/2020","61,000","60,900","61,400","60,700","0.55K","-0.49%"
"11/11/2020","61,300","60,700","61,400","60,400","6.56K","1.83%"
"11/10/2020","60,200","60,500","60,500","59,500","7.03K","0.00%"
"11/09/2020","60,200","60,700","60,900","60,100","1.62K","0.17%"
"11/08/2020","60,100","60,100","60,100","60,100","","0.00%"
"11/06/2020","60,100","60,700","60,800","59,600","16.82M","-0.33%"
"11/05/2020","60,300","59,000","60,300","58,800","1.00K","3.08%"
"11/04/2020","58,500","59,000","59,000","57,900","2.49K","-0.51%"
"11/03/2020","58,800","57,800","58,900","57,700","0.14K","2.44%"
"11/02/2020","57,400","56,400","57,500","56,000","1.58K","1.41%"
"11/01/2020","56,600","56,600","56,600","56,600","","0.00%"
"10/30/2020","56,600","58,000","58,000","56,600","26.28M","-2.58%"
"10/29/2020","58,100","58,200","58,500","57,500","16.16K","-1.53%"
"10/28/2020","59,000","59,400","59,400","58,800","0.66K","-1.34%"
"10/27/2020","59,800","60,200","60,200","59,500","0.79K","-0.99%"
"10/26/2020","60,400","60,300","61,100","60,100","2.21K","0.33%"
"10/25/2020","60,200","60,200","60,200","60,200","","0.00%"
"10/23/2020","60,200","60,400","60,400","59,800","8.43M","0.17%"
"10/22/2020","60,100","60,400","60,500","59,800","0.39K","-1.31%"
"10/21/2020","60,900","61,100","61,500","60,600","1.04K","0.00%"
"10/20/2020","60,900","60,200","60,900","60,100","0.33K","1.50%"
"10/19/2020","60,000","59,700","60,200","59,500","10.54K","0.84%"
"10/18/2020","59,500","59,500","59,500","59,500","","0.00%"
"10/16/2020","59,500","60,000","60,400","59,000","16.03M","-0.83%"
"10/15/2020","60,000","60,800","60,800","59,700","4.80K","-1.48%"
"10/14/2020","60,900","61,000","61,100","60,500","1.86K","0.00%"
"10/13/2020","60,900","61,000","61,400","60,400","19.18M","0.83%"
"10/12/2020","60,400","60,100","60,400","59,900","0.13K","1.17%"
"10/11/2020","59,700","59,700","59,700","59,700","","0.00%"
"10/08/2020","59,700","60,500","60,700","59,500","24.40M","-0.33%"
"10/07/2020","59,900","58,700","59,900","58,500","0.12K","1.53%"
"10/06/2020","59,000","59,400","59,800","58,700","1.78K","0.51%"
"10/05/2020","58,700","57,700","59,200","57,700","0.14K","0.86%"
"10/04/2020","58,200","58,200","58,200","58,200","","0.00%"
"09/29/2020","58,200","58,300","59,000","58,200","13.54M","0.00%"
"09/28/2020","58,200","58,300","58,800","57,900","12.56M","0.52%"
"09/27/2020","57,900","57,900","57,900","57,900","","0.00%"
"09/25/2020","57,900","57,700","58,200","57,700","10.58M","0.17%"
"09/24/2020","57,800","57,700","58,600","57,600","17.49M","-1.37%"
"09/23/2020","58,600","58,400","58,800","57,500","5.73K","0.69%"
"09/22/2020","58,200","59,200","59,700","57,800","0.64K","-1.69%"
"09/21/2020","59,200","59,100","60,000","59,000","14.95M","-0.17%"
"09/20/2020","59,300","59,300","59,300","59,300","","0.00%"
"09/18/2020","59,300","59,800","59,900","59,100","18.63M","-0.34%"
"09/17/2020","59,500","60,600","60,800","59,300","11.07K","-2.46%"
"09/16/2020","61,000","61,100","61,300","60,600","7.27K","0.00%"
"09/15/2020","61,000","60,800","61,000","60,500","2.07K","0.99%"
"09/14/2020","60,400","60,300","60,700","60,000","0.71K","2.37%"
"09/13/2020","59,000","59,000","59,000","59,000","","0.00%"
"09/11/2020","59,000","59,300","59,400","58,200","15.93M","-0.34%"
"09/10/2020","59,200","59,800","60,000","59,100","7.50K","1.37%"
"09/09/2020","58,400","58,300","59,300","57,800","1.88K","-0.51%"
"09/08/2020","58,700","57,400","58,700","57,200","24.53K","3.89%"
"09/07/2020","56,500","56,000","57,300","55,800","0.24K","1.62%"
"09/06/2020","55,600","55,600","55,600","55,600","","0.00%"
"09/04/2020","55,600","55,200","55,800","55,100","21.98M","-1.42%"
"09/03/2020","56,400","55,500","56,700","55,500","6.65K","3.68%"
"09/02/2020","54,400","54,600","55,100","54,100","0.69K","0.37%"
"09/01/2020","54,200","54,100","54,800","54,100","17.39M","0.37%"
"08/31/2020","54,000","56,000","56,100","54,000","2.27K","-2.53%"
"08/30/2020","55,400","55,400","55,400","55,400","","0.00%"
"08/28/2020","55,400","56,100","56,300","55,400","14.53M","-0.36%"
"08/27/2020","55,600","56,300","56,300","55,600","1.82K","-1.42%"
"08/26/2020","56,400","56,300","56,500","55,700","3.55K","0.00%"
"08/25/2020","56,400","56,500","56,800","56,100","1.55K","0.53%"
"08/24/2020","56,100","55,800","56,600","55,400","0.21K","0.36%"
"08/23/2020","55,900","55,900","55,900","55,900","","0.00%"
"08/21/2020","55,900","56,200","56,900","55,800","21.09M","0.90%"
"08/20/2020","55,400","57,600","57,600","55,300","3.81K","-4.15%"
"08/19/2020","57,800","59,000","59,200","57,800","18.42K","-1.03%"
"08/18/2020","58,400","59,000","59,900","58,000","1.64K","0.69%"
"08/17/2020","58,000","58,000","58,000","58,000","","0.00%"
"08/14/2020","58,000","58,000","58,400","57,700","15.60M","-1.19%"
"08/13/2020","58,700","59,300","59,500","58,000","11.01K","-0.51%"
"08/12/2020","59,000","58,300","59,000","57,700","1.60K","1.37%"
"08/11/2020","58,200","58,000","59,500","57,800","52.17K","0.69%"
"08/10/2020","57,800","57,600","58,300","57,500","1.18K","0.52%"
"08/09/2020","57,500","57,500","57,500","57,500","","0.00%"
"08/07/2020","57,500","57,900","58,400","57,100","18.16M","-0.86%"
"08/06/2020","58,000","57,200","58,400","57,100","7.87K","1.93%"
"08/05/2020","56,900","57,400","57,400","56,300","6.31K","-0.70%"
"08/04/2020","57,300","57,200","58,100","57,000","1.92K","0.88%"
"08/03/2020","56,800","57,900","57,900","56,700","0.40K","-1.90%"
"08/02/2020","57,900","57,900","57,900","57,900","","0.00%"
"07/31/2020","57,900","59,500","59,600","57,700","21.86M","-1.86%"
"07/30/2020","59,000","59,700","60,100","59,000","4.60K","0.00%"
"07/29/2020","59,000","60,300","60,300","58,600","1.24K","0.68%"
"07/28/2020","58,600","56,800","58,800","56,400","64.78K","5.40%"
"07/27/2020","55,600","54,400","55,700","54,400","2.47K","2.58%"
"07/26/2020","54,200","54,200","54,200","54,200","","0.00%"
"07/24/2020","54,200","54,000","54,400","53,700","10.91M","0.18%"
"07/23/2020","54,100","54,700","54,700","53,800","15.91M","-1.10%"
"07/22/2020","54,700","55,300","55,500","54,700","3.04K","-1.08%"
"07/21/2020","55,300","55,100","55,400","54,800","5.85K","2.03%"
"07/20/2020","54,200","54,700","54,800","54,100","0.94K","-0.37%"
"07/19/2020","54,400","54,400","54,400","54,400","","0.00%"
"07/17/2020","54,400","54,200","54,700","54,100","10.04M","1.12%"
"07/16/2020","53,800","54,800","54,800","53,800","3.29K","-1.65%"
"07/15/2020","54,700","54,400","55,000","54,400","1.39K","1.67%"
"07/14/2020","53,800","53,700","53,800","53,200","0.46K","0.75%"
"07/13/2020","53,400","53,500","53,700","53,300","5.33K","1.33%"
"07/10/2020","52,700","53,100","53,200","52,300","13.65M","-0.19%"
"07/09/2020","52,800","53,300","53,600","52,800","2.64K","-0.38%"
"07/08/2020","53,000","53,600","53,900","52,900","0.22K","-0.75%"
"07/07/2020","53,400","55,900","55,900","53,400","13.78K","-2.91%"
"07/06/2020","55,000","53,900","55,000","53,800","0.50K","2.61%"
"07/05/2020","53,600","53,600","53,600","53,600","","0.00%"
"07/03/2020","53,600","53,000","53,600","52,700","11.82M","1.32%"
"07/02/2020","52,900","52,300","52,900","52,200","0.55K","0.57%"
"07/01/2020","52,600","53,400","53,500","52,400","1.58K","-0.38%"
"06/30/2020","52,800","53,800","53,800","52,800","0.04K","0.76%"
"06/29/2020","52,400","52,600","53,200","52,000","0.06K","-1.69%"
"06/28/2020","53,300","53,300","53,300","53,300","","0.00%"
"06/26/2020","53,300","52,800","53,900","52,200","21.42M","2.70%"
"06/25/2020","51,900","52,200","53,000","51,900","0.06K","-1.89%"
"06/24/2020","52,900","51,900","53,900","51,600","2.28K","2.92%"
"06/23/2020","51,400","52,500","52,700","51,100","1.70K","-1.15%"
"06/22/2020","52,000","52,100","52,600","51,800","0.06K","-1.70%"
"06/21/2020","52,900","52,900","52,900","52,900","","0.00%"
"06/19/2020","52,900","52,600","52,900","51,600","17.47M","1.15%"
"06/18/2020","52,300","52,100","52,300","51,600","4.82K","0.19%"
"06/17/2020","52,200","52,500","52,600","52,000","22.81K","0.19%"
"06/16/2020","52,100","51,200","52,100","50,600","21.42M","4.41%"
"06/15/2020","49,900","51,400","52,000","49,900","1.70K","-4.59%"
"06/14/2020","52,300","52,300","52,300","52,300","","0.00%"
"06/12/2020","52,300","52,100","52,800","51,500","26.38M","-3.68%"
"06/11/2020","54,300","54,500","55,100","53,200","1.17K","-1.99%"
"06/10/2020","55,400","55,200","55,900","54,900","6.58K","-0.18%"
"06/09/2020","55,500","55,900","56,400","54,500","12.26K","1.09%"
"06/08/2020","54,900","56,500","56,500","54,700","0.50K","-1.08%"
"06/07/2020","55,500","55,500","55,500","55,500","","0.00%"
"06/05/2020","55,500","54,400","55,900","54,000","22.40M","1.65%"
"06/04/2020","54,600","55,800","56,900","54,600","4.92K","0.18%"
"06/03/2020","54,500","51,800","55,000","51,700","4.73K","6.03%"
"06/02/2020","51,400","51,100","51,500","50,800","0.12K","0.39%"
"06/01/2020","51,200","50,800","51,200","50,600","35.32K","0.99%"
"05/31/2020","50,700","50,700","50,700","50,700","","0.00%"
"05/29/2020","50,700","50,000","50,700","49,700","26.33M","0.60%"
"05/28/2020","50,400","51,000","51,200","49,950","2.43K","1.00%"
"05/27/2020","49,900","48,950","50,000","48,800","1.96K","1.32%"
"05/26/2020","49,250","48,700","49,450","48,600","15.73K","0.82%"
"05/25/2020","48,850","48,750","48,900","48,450","1.22K","0.21%"
"05/24/2020","48,750","48,750","48,750","48,750","","0.00%"
"05/22/2020","48,750","49,600","49,800","48,600","19.29M","-2.40%"
"05/21/2020","49,950","50,300","50,400","49,850","14.58M","-0.10%"
"05/20/2020","50,000","50,000","50,200","49,800","12.86M","-0.60%"
"05/19/2020","50,300","50,100","50,500","49,700","8.24K","3.07%"
"05/18/2020","48,800","47,950","49,100","47,600","0.21K","1.99%"
"05/17/2020","47,850","47,850","47,850","47,850","","0.00%"
"05/15/2020","47,850","48,400","48,450","47,700","17.79M","-0.31%"
"05/14/2020","48,000","47,800","48,100","47,650","5.42K","-1.13%"
"05/13/2020","48,550","47,250","48,550","47,200","26.96K","1.36%"
"05/12/2020","47,900","48,400","48,500","47,550","22.07M","-1.03%"
"05/11/2020","48,400","48,900","49,250","48,300","15.94M","-0.82%"
"05/10/2020","48,800","48,800","48,800","48,800","","0.00%"
"05/08/2020","48,800","49,100","49,350","48,800","15.13M","0.00%"
"05/07/2020","48,800","49,200","49,300","48,700","13.73M","-0.81%"
